"gene_id"	"chromosome"	"geneStart"
"ENSG00000005302.13"	"chrX"	11776278
"ENSG00000005339.8"	"chr16"	3775055
"ENSG00000005379.11"	"chr17"	56378592
"ENSG00000005381.6"	"chr17"	56347217
"ENSG00000005421.4"	"chr7"	94926988
"ENSG00000005436.9"	"chr2"	75879126
"ENSG00000005448.12"	"chr2"	74648805
"ENSG00000005469.7"	"chr7"	86974997
"ENSG00000005471.11"	"chr7"	87031013
"ENSG00000005483.15"	"chr7"	104654626
"ENSG00000005486.12"	"chr7"	75471920
"ENSG00000005513.9"	"chr16"	1031808
"ENSG00000005700.10"	"chr6"	82879700
"ENSG00000005801.12"	"chr11"	3360491
"ENSG00000005810.13"	"chr13"	77618792
"ENSG00000005812.6"	"chr13"	77566740
"ENSG00000005844.13"	"chr16"	30483979
"ENSG00000005882.7"	"chr17"	48172101
"ENSG00000005884.13"	"chr17"	48133332
"ENSG00000005889.11"	"chrX"	24167290
"ENSG00000005893.11"	"chrX"	119561682
"ENSG00000005955.8"	"chr17"	34900737
"ENSG00000005961.13"	"chr17"	42449548
"ENSG00000005981.8"	"chr7"	95107756
"ENSG00000006007.7"	"chr16"	19513015
"ENSG00000006015.13"	"chr19"	18699495
"ENSG00000006016.6"	"chr19"	18683030
"ENSG00000006025.7"	"chr17"	45884738
"ENSG00000006042.7"	"chr17"	31254928
"ENSG00000006047.8"	"chr17"	7191571
"ENSG00000006059.3"	"chr17"	39502344
"ENSG00000006071.7"	"chr11"	17414432
"ENSG00000006074.4"	"chr17"	34391640
"ENSG00000006075.11"	"chr17"	34415602
"ENSG00000006114.11"	"chr17"	35874900
"ENSG00000006116.3"	"chr16"	24266874
"ENSG00000006118.10"	"chr11"	60691935
"ENSG00000006125.12"	"chr17"	33905065
"ENSG00000006128.7"	"chr7"	97361220
"ENSG00000006194.6"	"chr16"	3313743
"ENSG00000006210.6"	"chr16"	57406370
"ENSG00000006282.15"	"chr17"	48620419
"ENSG00000006283.13"	"chr17"	48638429
"ENSG00000006327.9"	"chr16"	3068446
"ENSG00000006377.9"	"chr7"	96634860
"ENSG00000006432.11"	"chr14"	71189243
"ENSG00000006451.3"	"chr7"	39663082
"ENSG00000006453.9"	"chr7"	97920963
"ENSG00000006459.6"	"chr7"	139784546
"ENSG00000006468.9"	"chr7"	13930853
"ENSG00000006530.11"	"chr7"	141250989
"ENSG00000006534.11"	"chr11"	67776048
"ENSG00000006555.6"	"chr1"	55245385
"ENSG00000006576.12"	"chr7"	77428122
"ENSG00000006606.4"	"chr7"	75398851
"ENSG00000006607.9"	"chr2"	242295658
"ENSG00000006611.11"	"chr11"	17515442
"ENSG00000006625.13"	"chr7"	30536237
"ENSG00000006634.3"	"chr7"	87505531
"ENSG00000006638.7"	"chr19"	3594504
"ENSG00000006652.9"	"chr7"	112063023
"ENSG00000006659.8"	"chr19"	40194946
"ENSG00000006695.6"	"chr17"	13972813
"ENSG00000006704.6"	"chr7"	73868120
"ENSG00000006712.10"	"chr19"	39876492
"ENSG00000006715.11"	"chr7"	38762563
"ENSG00000006740.12"	"chr17"	12692856
"ENSG00000006744.14"	"chr17"	12895708
"ENSG00000006747.10"	"chr7"	12610203
"ENSG00000006756.11"	"chrX"	2822011
"ENSG00000006757.7"	"chrX"	7866288
"ENSG00000006788.8"	"chr17"	10201401
"ENSG00000006831.9"	"chr12"	1797740
"ENSG00000006837.7"	"chr5"	133541305
"ENSG00000007001.8"	"chr2"	158733214
"ENSG00000007038.6"	"chr16"	2867164
"ENSG00000007047.10"	"chr19"	45582546
"ENSG00000007062.7"	"chr4"	15964699
"ENSG00000007080.6"	"chr19"	18043825
"ENSG00000007129.13"	"chr19"	42055886
"ENSG00000007168.8"	"chr17"	2496504
"ENSG00000007171.12"	"chr17"	26083792
"ENSG00000007174.13"	"chr17"	11501748
"ENSG00000007202.10"	"chr17"	26941458
"ENSG00000007216.10"	"chr17"	26800311
"ENSG00000007237.14"	"chr17"	9813926
"ENSG00000007255.6"	"chr19"	45666186
"ENSG00000007264.9"	"chr19"	3777971
"ENSG00000007306.10"	"chr19"	42177235
"ENSG00000007312.8"	"chr17"	62006100
"ENSG00000007314.7"	"chr17"	62015914
"ENSG00000007341.14"	"chr1"	113066140
"ENSG00000007350.12"	"chrX"	153524024
"ENSG00000007372.16"	"chr11"	31806340
"ENSG00000007402.7"	"chr3"	50400233
"ENSG00000007516.9"	"chr16"	1383602
"ENSG00000007520.3"	"chr16"	1399241
"ENSG00000007545.11"	"chr16"	1662326
"ENSG00000007866.14"	"chr6"	35441374
"ENSG00000007908.11"	"chr1"	169691781
"ENSG00000007923.11"	"chr1"	6694228
"ENSG00000007933.8"	"chr1"	171060018
"ENSG00000007944.10"	"chr6"	16129356
"ENSG00000007952.13"	"chrX"	100098313
"ENSG00000007968.6"	"chr1"	23832922
"ENSG00000008018.8"	"chr6"	170844205
"ENSG00000008056.8"	"chrX"	47431303
"ENSG00000008083.9"	"chr6"	15246527
"ENSG00000008086.6"	"chrX"	18443703
"ENSG00000008118.5"	"chr1"	209757062
"ENSG00000008128.18"	"chr1"	1634169
"ENSG00000008130.11"	"chr1"	1682671
"ENSG00000008196.8"	"chr6"	50786436
"ENSG00000008197.4"	"chr6"	50681541
"ENSG00000008226.15"	"chr3"	38080696
"ENSG00000008256.11"	"chr7"	6201407
"ENSG00000008277.10"	"chr7"	87563458
"ENSG00000008282.3"	"chr7"	105730949
"ENSG00000008283.11"	"chr17"	61509665
"ENSG00000008294.16"	"chr17"	49039535
"ENSG00000008300.10"	"chr3"	48673902
"ENSG00000008311.10"	"chr7"	121715701
"ENSG00000008323.11"	"chr12"	6419602
"ENSG00000008324.6"	"chr3"	42623332
"ENSG00000008382.11"	"chr19"	4343524
"ENSG00000008394.8"	"chr12"	16500076
"ENSG00000008405.7"	"chr12"	107385142
"ENSG00000008438.4"	"chr19"	46522411
"ENSG00000008441.12"	"chr19"	13106422
"ENSG00000008513.10"	"chr8"	134467091
"ENSG00000008516.12"	"chr16"	3096682
"ENSG00000008517.12"	"chr16"	3115298
"ENSG00000008710.13"	"chr16"	2138711
"ENSG00000008735.10"	"chr22"	51039114
"ENSG00000008838.13"	"chr17"	38175350
"ENSG00000008853.12"	"chr8"	22844930
"ENSG00000008869.7"	"chr2"	37195526
"ENSG00000008952.12"	"chr3"	169684423
"ENSG00000008988.5"	"chr8"	56979854
"ENSG00000009307.11"	"chr1"	115259534
"ENSG00000009335.13"	"chr7"	156931607
"ENSG00000009413.11"	"chr6"	111620234
"ENSG00000009694.9"	"chrX"	123509753
"ENSG00000009709.7"	"chr1"	18957500
"ENSG00000009724.12"	"chr1"	11086580
"ENSG00000009765.10"	"chr6"	150690028
"ENSG00000009780.11"	"chr1"	28052490
"ENSG00000009790.10"	"chr1"	209929377
"ENSG00000009830.7"	"chr14"	77741299
"ENSG00000009844.11"	"chr6"	142468367
"ENSG00000009950.11"	"chr7"	73007524
"ENSG00000009954.6"	"chr7"	72854728
"ENSG00000010017.9"	"chr6"	13621730
"ENSG00000010030.9"	"chr6"	36322419
"ENSG00000010072.11"	"chr1"	231472850
"ENSG00000010165.15"	"chr1"	171750788
"ENSG00000010219.9"	"chr12"	4671370
"ENSG00000010244.12"	"chr17"	30677136
"ENSG00000010256.6"	"chr3"	48636435
"ENSG00000010270.9"	"chr7"	38217824
"ENSG00000010278.7"	"chr12"	6308881
"ENSG00000010282.10"	"chr3"	42734155
"ENSG00000010292.8"	"chr12"	6602522
"ENSG00000010295.15"	"chr12"	6647541
"ENSG00000010310.4"	"chr19"	46171502
"ENSG00000010318.15"	"chr3"	52444673
"ENSG00000010319.2"	"chr3"	52467069
"ENSG00000010322.11"	"chr3"	52489134
"ENSG00000010327.6"	"chr3"	52529354
"ENSG00000010361.9"	"chr19"	50310126
"ENSG00000010404.13"	"chrX"	148558521
"ENSG00000010438.12"	"chr9"	33750515
"ENSG00000010539.7"	"chr16"	3272325
"ENSG00000010610.5"	"chr12"	6896024
"ENSG00000010626.10"	"chr12"	6982733
"ENSG00000010671.11"	"chrX"	100604435
"ENSG00000010704.14"	"chr6"	26087509
"ENSG00000010803.12"	"chr1"	41492872
"ENSG00000010810.13"	"chr6"	111981535
"ENSG00000010818.4"	"chr6"	143072604
"ENSG00000010932.11"	"chr1"	171217638
"ENSG00000011007.8"	"chr1"	24069645
"ENSG00000011009.6"	"chr1"	24117460
"ENSG00000011021.17"	"chr1"	11866207
"ENSG00000011028.9"	"chr17"	60704762
"ENSG00000011052.17"	"chr17"	49230951
"ENSG00000011083.4"	"chr5"	149569520
"ENSG00000011105.7"	"chr12"	3186521
"ENSG00000011114.10"	"chr14"	93703896
"ENSG00000011132.7"	"chr19"	3750817
"ENSG00000011143.12"	"chr17"	56282803
"ENSG00000011198.3"	"chr3"	43731605
"ENSG00000011201.6"	"chrX"	8496915
"ENSG00000011243.13"	"chr19"	15490859
"ENSG00000011258.11"	"chr17"	49254786
"ENSG00000011260.9"	"chr17"	49337889
"ENSG00000011275.14"	"chr7"	5659678
"ENSG00000011295.11"	"chr17"	15902694
"ENSG00000011332.15"	"chr19"	38701646
"ENSG00000011347.5"	"chr11"	61282785
"ENSG00000011376.5"	"chr3"	45429998
"ENSG00000011405.9"	"chr11"	17099277
"ENSG00000011422.7"	"chr19"	44150247
"ENSG00000011426.6"	"chr7"	36429415
"ENSG00000011451.13"	"chr19"	15532319
"ENSG00000011454.12"	"chr9"	125703112
"ENSG00000011465.12"	"chr12"	91539025
"ENSG00000011478.7"	"chr19"	46195741
"ENSG00000011485.10"	"chr19"	46850251
"ENSG00000011523.9"	"chr2"	65283500
"ENSG00000011566.10"	"chr2"	39476407
"ENSG00000011590.9"	"chr19"	36195429
"ENSG00000011600.7"	"chr19"	36395303
"ENSG00000011638.6"	"chr16"	21169698
"ENSG00000011677.8"	"chrX"	151334706
"ENSG00000012048.15"	"chr17"	41196312
"ENSG00000012061.11"	"chr19"	45910591
"ENSG00000012124.10"	"chr19"	35810164
"ENSG00000012174.7"	"chrX"	21857754
"ENSG00000012211.8"	"chrX"	49031151
"ENSG00000012223.8"	"chr3"	46477136
"ENSG00000012232.4"	"chr8"	28457986
"ENSG00000012504.9"	"chr12"	100867486
"ENSG00000012660.9"	"chr6"	53132196
"ENSG00000012779.6"	"chr10"	45869661
"ENSG00000012817.11"	"chrY"	21865751
"ENSG00000012822.11"	"chr12"	54104903
"ENSG00000012963.9"	"chr14"	93673401
"ENSG00000012983.7"	"chr14"	50885219
"ENSG00000013016.10"	"chr2"	31456880
"ENSG00000013275.3"	"chr19"	40476912
"ENSG00000013288.4"	"chr4"	6576902
"ENSG00000013293.5"	"chr3"	170177372
"ENSG00000013297.6"	"chr3"	170136653
"ENSG00000013306.11"	"chr17"	42396993
"ENSG00000013364.14"	"chr16"	29831715
"ENSG00000013374.11"	"chr7"	151038785
"ENSG00000013375.11"	"chr6"	83870869
"ENSG00000013392.6"	"chr6"	83903098
"ENSG00000013441.11"	"chr2"	201717732
"ENSG00000013503.5"	"chr12"	106751436
"ENSG00000013523.5"	"chr14"	77253588
"ENSG00000013561.13"	"chr5"	141337893
"ENSG00000013563.9"	"chrX"	153629579
"ENSG00000013573.12"	"chr12"	31226779
"ENSG00000013583.4"	"chr12"	13127798
"ENSG00000013588.5"	"chr12"	13043716
"ENSG00000013619.9"	"chrX"	149529689
"ENSG00000013725.10"	"chr11"	60739115
"ENSG00000013810.14"	"chr4"	1723227
"ENSG00000014123.9"	"chr6"	96969471
"ENSG00000014138.4"	"chr11"	65029233
"ENSG00000014164.6"	"chr8"	144519825
"ENSG00000014216.11"	"chr11"	64948037
"ENSG00000014257.11"	"chr3"	132036211
"ENSG00000014641.13"	"chr2"	63815743
"ENSG00000014824.9"	"chr4"	41992489
"ENSG00000014914.15"	"chr1"	149900543
"ENSG00000014919.8"	"chr10"	101471601
"ENSG00000015133.14"	"chr14"	91737667
"ENSG00000015153.10"	"chr12"	42550906
"ENSG00000015285.6"	"chrX"	48534985
"ENSG00000015413.5"	"chr16"	89679716
"ENSG00000015475.14"	"chr22"	18216906
"ENSG00000015479.13"	"chr5"	138609441
"ENSG00000015520.10"	"chr7"	44552134
"ENSG00000015532.5"	"chr17"	48423453
"ENSG00000015592.12"	"chr8"	27092840
"ENSG00000015676.13"	"chr7"	44418720
"ENSG00000016082.10"	"chr5"	50678921
"ENSG00000016391.6"	"chr3"	53846362
"ENSG00000016402.8"	"chr6"	137321108
"ENSG00000016490.11"	"chr1"	86934051
"ENSG00000016602.8"	"chr1"	87012761
"ENSG00000016864.12"	"chr3"	52728505
"ENSG00000017260.15"	"chr3"	130569439
"ENSG00000017373.11"	"chr17"	36686251
"ENSG00000017427.11"	"chr12"	102789645
"ENSG00000017483.10"	"chrX"	48316920
"ENSG00000017621.11"	"chrX"	49019061
"ENSG00000017797.7"	"chr18"	9475007
"ENSG00000018189.8"	"chr4"	71569921
"ENSG00000018236.10"	"chr12"	41086244
"ENSG00000018280.12"	"chr2"	219246752
"ENSG00000018408.10"	"chr3"	149235022
"ENSG00000018510.8"	"chr2"	178257372
"ENSG00000018610.9"	"chrX"	118672112
"ENSG00000018625.10"	"chr1"	160085549
"ENSG00000018699.7"	"chr2"	32853099
"ENSG00000018869.12"	"chr19"	56887413
"ENSG00000019102.7"	"chr11"	124617368
"ENSG00000019144.12"	"chr11"	118477155
"ENSG00000019169.9"	"chr2"	119699742
"ENSG00000019186.5"	"chr20"	52769988
"ENSG00000019485.8"	"chr11"	45115564
"ENSG00000019505.3"	"chr11"	45261852
"ENSG00000019549.4"	"chr8"	49830249
"ENSG00000019582.10"	"chr5"	149781200
"ENSG00000019991.11"	"chr7"	81328322
"ENSG00000019995.6"	"chr10"	126630692
"ENSG00000020129.11"	"chr1"	36023074
"ENSG00000020181.13"	"chr8"	37641709
"ENSG00000020256.15"	"chr20"	50668202
"ENSG00000020426.6"	"chr14"	61201460
"ENSG00000020577.9"	"chr14"	55033815
"ENSG00000020633.14"	"chr1"	25226002
"ENSG00000020922.8"	"chr11"	94152895
"ENSG00000021300.9"	"chr11"	73357223
"ENSG00000021355.8"	"chr6"	2832566
"ENSG00000021461.12"	"chr7"	99425636
"ENSG00000021488.8"	"chr19"	33321415
"ENSG00000021574.7"	"chr2"	32288680
"ENSG00000021645.13"	"chr14"	78708734
"ENSG00000021762.15"	"chr11"	3108346
"ENSG00000021776.6"	"chr15"	35147732
"ENSG00000021826.10"	"chr2"	211342406
"ENSG00000021852.8"	"chr1"	57394883
"ENSG00000022267.12"	"chrX"	135229559
"ENSG00000022277.8"	"chr20"	55043647
"ENSG00000022355.10"	"chr5"	161274197
"ENSG00000022556.11"	"chr19"	55464498
"ENSG00000022567.5"	"chr8"	142217265
"ENSG00000022840.11"	"chr12"	120971283
"ENSG00000022976.11"	"chr14"	102783714
"ENSG00000023041.7"	"chr10"	114190058
"ENSG00000023171.10"	"chr11"	123396344
"ENSG00000023228.9"	"chr2"	206979541
"ENSG00000023287.8"	"chr8"	53535016
"ENSG00000023318.7"	"chr9"	102741461
"ENSG00000023330.10"	"chr3"	52232102
"ENSG00000023445.9"	"chr11"	102188215
"ENSG00000023516.7"	"chr13"	42846289
"ENSG00000023572.4"	"chr1"	193065598
"ENSG00000023608.4"	"chr14"	62229075
"ENSG00000023697.8"	"chr12"	16064106
"ENSG00000023734.6"	"chr12"	16035325
"ENSG00000023839.6"	"chr10"	101542489
"ENSG00000023892.9"	"chr6"	35265595
"ENSG00000023902.9"	"chr1"	150121373
"ENSG00000023909.5"	"chr1"	94350761
"ENSG00000024048.6"	"chr6"	42531800
"ENSG00000024422.7"	"chr19"	48216600
"ENSG00000024526.12"	"chr1"	68939835
"ENSG00000024862.12"	"chr6"	139094657
"ENSG00000025039.10"	"chr6"	90074355
"ENSG00000025156.8"	"chr6"	122720691
"ENSG00000025293.11"	"chr20"	34359896
"ENSG00000025423.7"	"chr12"	57145945
"ENSG00000025434.14"	"chr11"	47269851
"ENSG00000025708.8"	"chr22"	50964181
"ENSG00000025770.14"	"chr22"	50946645
"ENSG00000025772.7"	"chr20"	43570771
"ENSG00000025796.9"	"chr6"	108188960
"ENSG00000025800.9"	"chr1"	32573639
"ENSG00000026025.9"	"chr10"	17270258
"ENSG00000026036.16"	"chr20"	62290653
"ENSG00000026103.15"	"chr10"	90750414
"ENSG00000026297.11"	"chr6"	167342992
"ENSG00000026508.12"	"chr11"	35160417
"ENSG00000026559.9"	"chr20"	49620193
"ENSG00000026652.9"	"chr6"	161551011
"ENSG00000026751.12"	"chr1"	160709037
"ENSG00000026950.12"	"chr6"	26402465
"ENSG00000027001.7"	"chr13"	24304328
"ENSG00000027075.9"	"chr14"	61654277
"ENSG00000027644.4"	"chr1"	156809855
"ENSG00000027697.8"	"chr6"	137518621
"ENSG00000027847.9"	"chr5"	177027101
"ENSG00000027869.7"	"chr1"	156776035
"ENSG00000028116.12"	"chr2"	58134786
"ENSG00000028137.12"	"chr1"	12227060
"ENSG00000028203.13"	"chr12"	95611522
"ENSG00000028277.16"	"chr19"	42590263
"ENSG00000028528.10"	"chr15"	64386322
"ENSG00000028839.5"	"chr6"	134273308
"ENSG00000029153.10"	"chr12"	27485787
"ENSG00000029363.11"	"chr6"	136578001
"ENSG00000029364.7"	"chr14"	69864732
"ENSG00000029534.15"	"chr8"	41510739
"ENSG00000029559.5"	"chr4"	88720733
"ENSG00000029639.6"	"chr6"	155578643
"ENSG00000029725.12"	"chr17"	5185558
"ENSG00000029993.10"	"chrX"	150148982
"ENSG00000030066.9"	"chr11"	47799639
"ENSG00000030110.8"	"chr6"	33540329
"ENSG00000030304.8"	"chr9"	113431051
"ENSG00000030419.12"	"chr2"	213864429
"ENSG00000030582.12"	"chr17"	42422614
"ENSG00000031003.6"	"chr5"	137273649
"ENSG00000031081.6"	"chr3"	119013220
"ENSG00000031691.6"	"chr6"	49431091
"ENSG00000031698.8"	"chr1"	109756540
"ENSG00000031823.10"	"chr19"	5916150
"ENSG00000032219.14"	"chr14"	58765103
"ENSG00000032389.8"	"chr2"	3192696
"ENSG00000032444.11"	"chr19"	7598890
"ENSG00000032742.13"	"chr13"	21140585
"ENSG00000033011.7"	"chr16"	5083703
"ENSG00000033030.9"	"chr12"	122957417
"ENSG00000033050.3"	"chr7"	150904923
"ENSG00000033100.10"	"chr7"	150929575
"ENSG00000033122.14"	"chr1"	70034081
"ENSG00000033170.12"	"chr14"	65877310
"ENSG00000033178.8"	"chr4"	68478370
"ENSG00000033327.8"	"chr11"	77926343
"ENSG00000033627.10"	"chr17"	40610862
"ENSG00000033800.9"	"chr15"	68346517
"ENSG00000033867.12"	"chr3"	27414214
"ENSG00000034053.10"	"chr15"	29129629
"ENSG00000034152.14"	"chr17"	21187984
"ENSG00000034239.6"	"chr8"	49623348
"ENSG00000034510.4"	"chr2"	85132749
"ENSG00000034533.7"	"chr3"	130732719
"ENSG00000034677.7"	"chr8"	101269288
"ENSG00000034693.10"	"chr6"	143771944
"ENSG00000034713.3"	"chr16"	75600249
"ENSG00000034971.10"	"chr1"	171604557
"ENSG00000035141.3"	"chr2"	70523107
"ENSG00000035403.12"	"chr10"	75757872
"ENSG00000035499.8"	"chr5"	59892739
"ENSG00000035664.7"	"chr15"	64199235
"ENSG00000035681.3"	"chr8"	59496063
"ENSG00000035687.9"	"chr1"	244571796
"ENSG00000035720.3"	"chr4"	68424446
"ENSG00000035862.8"	"chr17"	76849059
"ENSG00000035928.10"	"chr4"	39289076
"ENSG00000036054.8"	"chr3"	99979844
"ENSG00000036257.8"	"chr2"	225334867
"ENSG00000036448.5"	"chr8"	1993155
"ENSG00000036473.6"	"chrX"	38211798
"ENSG00000036530.4"	"chr14"	100150641
"ENSG00000036549.8"	"chr1"	78028101
"ENSG00000036565.10"	"chr8"	20002366
"ENSG00000036672.11"	"chr11"	119225925
"ENSG00000036828.9"	"chr3"	121902530
"ENSG00000037042.8"	"chr17"	40811323
"ENSG00000037241.3"	"chr5"	172385732
"ENSG00000037474.10"	"chr5"	6599352
"ENSG00000037637.6"	"chr1"	16573334
"ENSG00000037749.7"	"chr5"	153418466
"ENSG00000037757.9"	"chr19"	13875346
"ENSG00000037897.12"	"chr12"	58162254
"ENSG00000037965.4"	"chr12"	54402832
"ENSG00000038002.4"	"chr4"	178351924
"ENSG00000038210.9"	"chr4"	25162263
"ENSG00000038219.8"	"chr4"	13570362
"ENSG00000038274.12"	"chr5"	162930120
"ENSG00000038295.3"	"chr4"	166794410
"ENSG00000038358.10"	"chr16"	67906926
"ENSG00000038382.13"	"chr5"	14143811
"ENSG00000038427.11"	"chr5"	82767284
"ENSG00000038532.10"	"chr16"	11038345
"ENSG00000038945.10"	"chr8"	15965387
"ENSG00000039068.14"	"chr16"	68771128
"ENSG00000039123.11"	"chr5"	54603588
"ENSG00000039139.9"	"chr5"	13690440
"ENSG00000039319.12"	"chr5"	79703832
"ENSG00000039523.13"	"chr16"	67552321
"ENSG00000039537.9"	"chr5"	41142336
"ENSG00000039560.9"	"chr5"	34656342
"ENSG00000039600.6"	"chr5"	157052687
"ENSG00000039650.5"	"chr19"	50364461
"ENSG00000039987.2"	"chr19"	12862516
"ENSG00000040199.14"	"chr16"	71671738
"ENSG00000040275.12"	"chr5"	169010638
"ENSG00000040341.13"	"chr8"	74332604
"ENSG00000040487.8"	"chr1"	19638820
"ENSG00000040531.10"	"chr17"	3539762
"ENSG00000040608.9"	"chr22"	20228938
"ENSG00000040633.8"	"chr17"	7138347
"ENSG00000040731.6"	"chr5"	24487209
"ENSG00000040933.11"	"chr2"	99061317
"ENSG00000041353.5"	"chr18"	52385091
"ENSG00000041357.11"	"chr15"	78832747
"ENSG00000041515.11"	"chr13"	109248500
"ENSG00000041802.6"	"chr3"	194361517
"ENSG00000041880.10"	"chr3"	51976361
"ENSG00000041982.10"	"chr9"	117782806
"ENSG00000041988.11"	"chr1"	6684926
"ENSG00000042062.7"	"chr20"	49202645
"ENSG00000042088.9"	"chr14"	90421283
"ENSG00000042286.10"	"chr10"	71857979
"ENSG00000042304.6"	"chr2"	228474806
"ENSG00000042317.12"	"chr14"	88851268
"ENSG00000042429.6"	"chr11"	93517393
"ENSG00000042445.9"	"chr2"	85569211
"ENSG00000042493.11"	"chr2"	85621871
"ENSG00000042753.7"	"chr19"	47341393
"ENSG00000042781.8"	"chr1"	215796236
"ENSG00000042813.3"	"chr7"	49890017
"ENSG00000042832.7"	"chr8"	133879203
"ENSG00000042980.8"	"chr8"	24151553
"ENSG00000043039.5"	"chr11"	129245835
"ENSG00000043093.9"	"chr3"	182655862
"ENSG00000043143.16"	"chr5"	133860003
"ENSG00000043355.6"	"chr13"	100634026
"ENSG00000043462.7"	"chr5"	169673241
"ENSG00000043514.11"	"chr1"	40306723
"ENSG00000043591.4"	"chr10"	115803806
"ENSG00000044012.3"	"chr1"	42619092
"ENSG00000044090.4"	"chr6"	43005355
"ENSG00000044115.16"	"chr5"	137946656
"ENSG00000044446.7"	"chrX"	18910418
"ENSG00000044459.10"	"chr9"	17134980
"ENSG00000044524.6"	"chr3"	89156674
"ENSG00000044574.7"	"chr9"	127997132
"ENSG00000046604.8"	"chr18"	29078006
"ENSG00000046647.9"	"chrX"	14026398
"ENSG00000046651.10"	"chrX"	13752832
"ENSG00000046653.10"	"chrX"	13789150
"ENSG00000046774.9"	"chrX"	141290131
"ENSG00000046889.14"	"chr8"	68864353
"ENSG00000047056.10"	"chr10"	1095478
"ENSG00000047188.11"	"chr5"	112849380
"ENSG00000047230.10"	"chrX"	16606126
"ENSG00000047249.12"	"chr8"	54628117
"ENSG00000047315.10"	"chr4"	57843888
"ENSG00000047346.8"	"chr15"	52873514
